,ID,t,x,y,v,a,label
51,0,1.7380673943790884e+18,-0.9497303132282094,2.8150002193450927,0.0,0.0,person
52,2,1.738067394252e+18,-0.5525,0.5970500000000001,0.0,0.0,person
53,1,1.738067395024e+18,-0.2533,3.5867,0.0,0.0,
54,2,1.73806739474e+18,-0.57255,0.5795,0.0,0.0,
55,1,1.738067395261e+18,-0.36819999999999997,3.58055,0.0,0.0,
56,2,1.738067395261e+18,-0.5826,0.5519000000000001,0.0,0.0,
57,1,1.738067395813e+18,-0.24285,3.6995,0.0,0.0,
58,2,1.738067395813e+18,-0.5792,0.5862,0.0,0.0,
59,1,1.738067396239e+18,0.0016500000000000004,4.02685,0.0,0.0,
60,2,1.738067396239e+18,-0.5807,0.59395,0.0,0.0,
61,1,1.738067396823e+18,0.13815,4.3332999999999995,0.0,0.0,
62,2,1.738067396823e+18,-0.59595,0.5589999999999999,0.0,0.0,
63,1,1.738067397312e+18,0.17073243025026866,3.48120816866602,1.069816789173395,109.375423088507,
64,2,1.738067397312e+18,-0.5884,0.5828500000000001,1.069816789173395,109.375423088507,
65,1,1.738067397816e+18,0.0874964172027293,3.226686757226879,1.065470063368854,96.87640736765911,
66,2,1.738067397817e+18,-0.5834,0.57785,1.065470063368854,96.87640736765911,
67,1,1.7380673983069998e+18,0.07872312584270061,3.4249283871586975,1.064208354622026,92.35753907233746,
68,2,1.7380673983069998e+18,-0.5918,0.5862,1.064208354622026,92.35753907233746,
69,1,1.738067398731e+18,0.03866404455978684,3.579423393763593,0.9982667394247638,89.51054974449985,
70,2,1.738067398731e+18,-0.6077,0.5895,0.9982667394247638,89.51054974449985,
71,1,1.738067399299e+18,0.07862465370660317,3.60295229444437,0.951409047712797,91.7253633488712,
72,2,1.7380673995810002e+18,-0.6754,0.5569,0.951409047712797,91.7253633488712,
73,1,1.73806739971596e+18,0.037840311020024636,3.3424221953109403,0.951409047712797,91.7253633488712,
74,2,1.73806739971596e+18,-0.12397560960389972,2.6286358972055703,0.9908932828814657,-53.49925310939745,
75,1,1.738067400367e+18,-0.07415,2.4606,0.0,0.0,
76,2,1.7380674003162e+18,-0.19559959443974032,2.168377754330934,1.0306402417383882,-89.41146803814101,
77,1,1.738067400871e+18,0.004399999999999999,2.90415,0.0,0.0,
78,2,1.7380674008162798e+18,-0.31628047857184066,1.7725275029777945,1.1417453148241419,-81.52319639172252,
79,1,1.73806740136e+18,-0.047099999999999996,3.40915,0.0,0.0,
80,2,1.73806740131621e+18,-0.5252467727401047,1.382995348483647,1.22533434318967,-73.84955141254646,
81,1,1.7380674018629998e+18,-0.11989999999999999,3.80375,0.0,0.0,
