ObjectID,PositionX,PositionY,Timestamp, X,Y,Theta
1,0.7801,1.0778,1739270945.655000,-0.0035,-0.0062,-0.0009
1,0.7564,1.0290,1739270945.875000,-0.0043,-0.0075,0.0003
1,0.7564,0.9789,1739270946.098000,-0.0047,-0.0061,0.0004
1,0.7745,0.8549,1739270946.381000,-0.0061,-0.0063,0.0010
1,0.8334,0.7299,1739270946.648000,-0.0055,-0.0056,0.0010
1,0.8406,0.6511,1739270946.870000,-0.0059,-0.0069,0.0008
1,0.8191,0.5965,1739270947.091000,-0.0054,-0.0075,0.0013
1,0.8247,0.4704,1739270947.312000,-0.0050,-0.0080,0.0009
1,0.8128,0.4085,1739270947.596000,-0.0055,-0.0065,0.0009
1,0.8302,0.3757,1739270947.817000,-0.0060,-0.0061,0.0008
1,0.9138,0.3144,1739270948.100000,-0.0050,-0.0033,0.0014
1,0.9409,0.2285,1739270948.306000,-0.0051,-0.0041,0.0007
1,0.9382,0.2455,1739270948.517000,-0.0043,-0.0027,0.0007
1,0.9376,0.2005,1739270948.749000,-0.0057,-0.0070,0.0009
1,0.9069,0.2706,1739270949.034000,-0.0052,-0.0071,0.0018
1,0.8804,0.3479,1739270949.300000,-0.0056,-0.0076,0.0011
1,0.8755,0.3458,1739270949.517000,-0.0056,-0.0061,0.0012
1,0.8470,0.4036,1739270949.745000,-0.0049,-0.0040,0.0007
1,0.7940,0.5025,1739270949.951000,-0.0055,-0.0046,0.0007
1,0.7634,0.5875,1739270950.161000,-0.0052,-0.0040,0.0009
1,0.7745,0.6487,1739270950.383000,-0.0053,-0.0043,0.0014
1,0.7773,0.7741,1739270950.678000,-0.0054,-0.0061,0.0010
1,0.8191,0.8911,1739270950.899000,-0.0063,-0.0069,0.0012
1,0.8478,0.9735,1739270951.184000,-0.0051,-0.0039,0.0014
1,0.8525,1.0611,1739270951.461000,-0.0047,-0.0042,0.0003
1,0.7752,1.1293,1739270951.743000,-0.0049,-0.0044,0.0007
1,0.8066,1.1983,1739270952.029000,-0.0050,-0.0060,0.0006
1,0.8581,1.2171,1739270952.246000,-0.0051,-0.0070,0.0000
1,0.7990,1.2873,1739270952.544000,-0.0042,-0.0060,0.0006
1,0.6749,1.3048,1739270952.765000,-0.0057,-0.0033,0.0004
1,0.5461,1.2951,1739270953.049000,-0.0054,-0.0064,0.0014
1,0.5182,1.2816,1739270953.270000,-0.0060,-0.0054,0.0017
1,0.3594,1.2923,1739270953.544000,-0.0050,-0.0031,0.0010
